Rank,Team,Subdivision,Record,Score,Week 1 Score,Week 2 Opponent Rank Points,Week 2 Win Points,Week 2 Margin Points,Week 2 Game Points,Opponent Strength
78,Old Dominion,FBS,1-1,134.5,164.5,-7.0,0.0,-23.0,-30.0,393.5
79,Iowa State,FBS,1-1,132.0,171.5,-36.5,0.0,-3.0,-39.5,364.0
80,Nevada,FBS,1-1,130.5,178.5,-35.0,0.0,-13.0,-48.0,365.5
81,Temple,FBS,1-1,118.0,167.5,-31.5,0.0,-18.0,-49.5,369.0
82,California,FBS,1-1,115.0,-154.5,256.5,10.0,3.0,269.5,390.0
83,Austin Peay,FCS,2-1,114.0,4.5,76.5,5.0,28.0,109.5,420.0
84,Campbell,FCS,2-1,113.75,154.0,-15.75,0.0,-24.5,-40.25,502.5
85,South Dakota State,FCS,2-1,112.25,28.5,57.25,5.0,21.5,83.75,381.5
86,William & Mary,FCS,2-1,109.25,148.5,-27.25,0.0,-12.0,-39.25,479.5
87,Jackson State,FCS,2-0,108.75,108.75,0.0,0.0,0.0,0.0,133.5
88,Kentucky,FBS,1-1,108.5,175.5,-39.0,0.0,-28.0,-67.0,361.5
89,Arkansas,FBS,1-1,108.0,160.5,-19.5,0.0,-33.0,-52.5,381.0
90,NC State,FBS,1-1,106.0,-159.5,182.5,10.0,73.0,265.5,316.0
91,Army,FBS,1-1,106.0,199.5,-89.5,0.0,-4.0,-93.5,311.0
92,Rhode Island,FCS,2-1,103.0,6.5,81.0,5.0,10.5,96.5,429.0
93,Purdue,FBS,1-1,99.0,168.5,-67.5,0.0,-2.0,-69.5,333.0
94,Delaware,FBS,1-1,94.5,178.5,-75.0,0.0,-9.0,-84.0,325.5
95,UC Davis,FCS,2-1,91.0,163.0,-49.0,0.0,-23.0,-72.0,436.0
96,Memphis,FBS,2-1,88.5,311.0,-204.5,0.0,-18.0,-222.5,329.5
97,San Diego State,FBS,1-1,88.5,176.5,-70.0,0.0,-18.0,-88.0,330.5
98,Oklahoma,FBS,1-1,86.5,194.5,-101.0,0.0,-7.0,-108.0,299.5
99,TCU,FBS,1-1,83.5,-138.5,156.0,10.0,56.0,222.0,289.5
100,Mercer,FCS,2-1,82.0,177.0,-91.5,0.0,-3.5,-95.0,351.0
101,Northern Arizona,FCS,2-1,81.5,-5.5,77.0,5.0,5.0,87.0,421.0
102,Youngstown State,FCS,2-1,78.5,5.5,39.5,5.0,28.5,73.0,346.0
103,Illinois,FBS,1-1,74.0,162.5,-84.5,0.0,-4.0,-88.5,316.0
104,Southern Illinois,FCS,2-1,72.25,5.5,54.75,5.0,7.0,66.75,376.5
105,Tulane,FBS,1-1,72.0,-147.5,205.5,10.0,4.0,219.5,339.0
106,Clemson,FBS,1-1,69.5,-174.5,219.0,10.0,15.0,244.0,352.5
107,Rice,FBS,1-1,65.0,171.5,-54.5,0.0,-52.0,-106.5,346.0
108,Baylor,FBS,1-1,59.5,-134.5,143.0,10.0,41.0,194.0,276.5
109,Southern Miss,FBS,1-1,53.5,189.5,-101.0,0.0,-35.0,-136.0,299.5
110,Florida International,FBS,1-1,50.5,-143.5,171.0,10.0,13.0,194.0,304.5
111,Bryant,FCS,2-1,50.0,-14.0,45.0,5.0,14.0,64.0,357.0
112,Louisville,FBS,1-1,49.0,-136.5,129.5,10.0,46.0,185.5,263.0
113,Akron,FBS,1-1,48.5,-155.5,159.0,10.0,35.0,204.0,292.5
114,Furman,FCS,2-1,48.25,-71.75,111.5,5.0,3.5,120.0,356.5
115,Houston Christian,FCS,2-1,48.0,-6.0,0.0,10.0,44.0,54.0,267.0
116,Florida Atlantic,FBS,1-1,48.0,-178.5,208.5,10.0,8.0,226.5,342.0
117,Alabama State,FCS,2-1,47.75,105.25,-49.0,0.0,-8.5,-57.5,302.5
118,Oklahoma State,FBS,1-1,45.5,-147.5,175.0,10.0,8.0,193.0,308.5
119,Elon,FCS,2-1,44.0,118.25,-63.75,0.0,-10.5,-74.25,273.0
120,Nicholls,FCS,2-1,43.5,-12.0,49.0,5.0,1.5,55.5,365.0
